2022/11/25 20:21:47 IP: 127.0.0.1:64229 | Code: 40005 | Error info: [write tcp4 127.0.0.1:8001->127.0.0.1:64229: wsasend: An established connection was aborted by the software in your host machine.]
2022/11/25 20:21:48 IP: 127.0.0.1:54797 | Code: 40005 | Error info: [write tcp4 127.0.0.1:8001->127.0.0.1:54797: wsasend: An established connection was aborted by the software in your host machine.]
2022/11/25 20:23:11 IP: 127.0.0.1:62203 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 20:23:11 IP: 127.0.0.1:62203 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 20:24:05 IP: 127.0.0.1:57783 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 20:24:05 IP: 127.0.0.1:57783 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 20:24:06 IP: 127.0.0.1:62250 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 20:24:06 IP: 127.0.0.1:62250 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 20:24:50 IP: 127.0.0.1:51603 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 20:24:50 IP: 127.0.0.1:51603 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 20:39:12 IP: 127.0.0.1:52222 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 20:39:12 IP: 127.0.0.1:52222 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 20:39:12 IP: 127.0.0.1:52222 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 20:39:13 IP: 127.0.0.1:52209 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 20:39:13 IP: 127.0.0.1:52209 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 21:00:23 IP: 127.0.0.1:61030 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 21:00:23 IP: 127.0.0.1:59511 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 21:00:23 IP: 127.0.0.1:61030 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 21:00:23 IP: 127.0.0.1:59511 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 21:16:26 IP: 127.0.0.1:55076 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 21:16:55 IP: 127.0.0.1:55106 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 21:16:55 IP: 127.0.0.1:55115 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 21:16:55 IP: 127.0.0.1:55106 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 21:16:55 IP: 127.0.0.1:55115 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 21:17:42 IP: 127.0.0.1:55147 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 21:17:42 IP: 127.0.0.1:55147 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 21:17:58 IP: 127.0.0.1:55201 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 21:26:57 IP: 127.0.0.1:55751 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 21:26:57 IP: 127.0.0.1:55751 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 21:26:57 IP: 127.0.0.1:55766 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 21:26:57 IP: 127.0.0.1:55766 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 21:31:34 IP: 127.0.0.1:55974 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 21:31:35 IP: 127.0.0.1:55949 | Code: 40005 | Error info: [websocket: close sent]
2022/11/25 21:31:35 IP: 127.0.0.1:55949 | Code: 40005 | Error info: [websocket: close sent]
2022/11/26 12:28:18 IP: 127.0.0.1:54641 | Code: 40005 | Error info: [websocket: close sent]
2022/11/26 20:44:04 IP: 127.0.0.1:52862 | Code: 40005 | Error info: [websocket: close sent]
2022/11/26 20:44:04 IP: 127.0.0.1:52862 | Code: 40005 | Error info: [websocket: close sent]
2022/11/26 20:44:05 IP: 127.0.0.1:52794 | Code: 40005 | Error info: [websocket: close sent]
